DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060
220223	2	1	0	4	1	2	1	1	4	2	1	1	1	0	1	0	1	1	1	0	1	6	1	2	5	2	5	0	1	3	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	1	0	1	0	1	1	1	1	0	1	3	4	2	1	N/A
220224	2	1	0	4	1	2	1	1	4	2	1	1	1	0	1	0	1	1	1	0	1	6	1	2	5	2	5	0	1	3	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	1	0	1	0	1	1	1	1	1	1	3	4	2	1	N/A
220225	2	1	0	4	1	2	1	1	4	2	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	5	0	1	4	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	1	0	1	2	1	2	3	1	1	1	3	4	2	1	N/A
220226	2	2	0	4	1	3	1	1	4	3	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	4	4	2	0	0	1	0	0	1	1	0	0	2	2	1	0	1	0	1	2	1	2	3	1	1	1	3	4	2	1	N/A
220227	3	2	0	4	1	3	1	1	4	3	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	4	4	2	0	0	1	0	0	1	1	0	0	2	2	1	0	1	0	1	2	2	2	3	1	1	1	3	4	2	1	N/A
220228	3	2	0	4	1	3	1	2	4	3	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	4	5	2	0	0	1	0	0	1	1	0	0	2	2	1	0	1	0	1	2	2	2	3	1	2	1	3	4	2	1	N/A
220301	3	2	0	4	2	3	2	2	4	4	2	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	5	5	2	0	0	2	1	0	1	1	0	0	2	2	2	0	1	0	1	2	2	3	4	2	2	1	3	4	2	1	N/A
220302	3	3	0	4	2	3	2	2	4	4	3	1	2	0	1	0	1	1	1	0	1	6	2	2	6	4	7	0	1	5	5	2	0	0	2	1	0	1	1	0	0	2	2	2	0	1	0	1	2	2	3	4	2	2	1	3	4	2	1	1
220303	3	3	0	5	2	3	2	2	4	4	4	1	2	0	1	0	2	1	1	0	1	6	2	2	6	4	7	0	1	5	5	2	0	0	2	1	0	1	1	0	0	2	2	2	0	1	0	2	2	2	3	4	2	2	2	3	4	2	1	1
220304	3	3	0	5	2	3	2	2	4	4	4	1	2	0	1	0	2	1	1	1	1	7	2	2	6	4	7	0	1	5	6	2	0	0	2	1	0	1	1	0	0	2	3	2	0	1	0	2	2	3	3	4	2	2	2	3	4	2	1	1
220305	3	3	0	5	2	3	2	2	4	4	4	1	2	0	1	0	2	1	1	1	1	8	2	2	6	5	7	0	1	5	6	2	0	0	2	1	0	1	1	0	0	2	3	2	0	1	0	2	2	3	3	4	2	2	2	3	4	2	1	1
220307	3	3	0	5	2	3	2	3	4	4	4	1	2	0	1	0	2	1	1	1	1	8	2	2	6	5	7	0	1	5	6	2	0	0	2	1	0	1	1	0	0	2	3	2	0	1	0	2	2	3	3	4	2	2	2	3	4	2	1	1
220308	4	3	0	5	2	3	3	3	4	4	4	1	2	0	1	0	2	2	1	1	1	9	2	2	6	5	8	0	1	5	6	2	0	0	2	1	0	1	1	0	0	2	3	2	0	1	0	2	2	3	3	4	2	2	2	3	4	2	1	1
220309	4	4	0	5	3	3	4	3	4	4	5	1	2	0	1	0	2	2	1	1	1	10	2	3	6	5	9	0	1	5	6	2	0	0	3	1	0	1	1	0	0	2	4	2	0	1	0	3	2	3	4	4	2	3	2	3	4	2	1	1
220310	4	5	0	5	3	3	4	3	4	4	5	1	2	0	1	0	2	2	1	1	1	10	2	3	7	5	9	0	1	5	6	2	0	0	3	1	0	1	2	0	0	2	4	2	0	1	0	3	2	3	4	4	2	3	2	3	4	2	1	1
220311	4	5	0	7	3	4	4	3	4	4	5	1	2	0	2	0	2	3	1	1	1	10	2	3	7	5	9	0	1	5	6	2	0	0	3	1	0	1	2	0	0	2	4	2	0	1	0	3	2	3	4	4	2	3	2	3	4	2	1	1
220312	4	5	0	7	3	4	4	3	4	4	5	1	2	0	2	0	2	3	1	1	1	10	2	3	7	6	9	0	1	5	7	2	0	0	3	2	0	1	2	0	0	2	4	2	0	1	0	3	2	3	4	4	2	3	2	3	5	2	1	1
220314	4	5	0	7	4	4	4	3	4	4	5	1	2	0	2	0	2	3	1	1	1	10	3	3	7	6	9	0	1	5	7	2	0	0	3	2	0	1	2	0	0	2	4	2	0	1	0	3	2	4	4	4	2	3	2	3	5	2	1	1
220316	4	5	0	8	4	4	4	3	4	4	5	1	2	0	2	0	2	3	1	1	1	12	3	3	7	6	9	0	1	5	8	2	0	0	3	2	0	1	3	0	0	2	5	2	0	1	0	3	2	4	4	5	2	3	2	3	5	2	1	1
220317	4	5	0	8	4	4	4	4	4	4	5	1	2	0	2	0	2	4	1	1	1	12	3	3	7	6	10	0	1	5	8	2	0	0	3	4	0	1	3	0	0	2	5	2	0	1	0	3	2	4	4	5	2	3	2	3	5	2	1	1
220321	4	5	0	8	4	4	4	4	4	4	5	1	3	0	2	0	2	4	1	1	2	12	3	3	8	6	10	0	2	5	9	2	0	0	3	5	0	1	4	0	0	2	5	2	0	1	0	3	2	4	4	5	3	3	2	2	5	2	1	2
220323	4	5	0	8	5	4	5	4	4	4	5	1	3	0	2	0	2	4	1	1	2	12	3	3	9	6	10	0	2	5	9	2	0	0	3	5	0	1	4	0	0	3	5	2	0	1	0	3	2	4	4	5	3	3	2	2	5	2	1	2
220324	4	5	0	8	5	4	5	5	4	4	5	1	3	0	2	0	2	4	1	1	2	12	3	3	9	5	11	0	2	5	9	2	0	0	3	5	0	2	4	0	0	3	5	2	0	1	0	3	2	4	4	5	4	3	2	2	5	2	1	2
220328	4	5	0	9	6	4	5	5	4	5	6	1	3	0	2	0	2	4	1	1	2	13	3	3	11	5	10	0	2	5	9	2	0	0	3	6	0	3	4	0	0	3	5	3	0	1	1	3	2	4	4	5	4	4	2	2	6	2	1	3
220328	4	5	0	9	6	4	5	5	4	5	6	1	3	0	2	0	2	4	1	1	2	13	3	3	11	5	11	0	2	5	9	2	0	0	3	6	0	3	4	0	0	3	5	3	0	1	1	3	2	4	4	5	4	4	2	2	6	2	1	3
220330	4	5	0	9	7	4	5	6	7	4	6	1	3	0	2	0	2	5	1	1	2	13	3	3	10	5	11	0	2	5	9	4	0	0	3	6	0	3	5	0	0	3	5	3	0	1	1	4	2	4	4	5	4	4	2	2	7	3	1	3
220331	4	5	0	9	7	4	5	6	7	4	6	1	3	0	2	0	2	5	1	1	2	13	3	3	10	5	11	0	2	5	9	4	0	0	3	6	0	3	5	0	0	3	5	3	0	1	1	4	2	4	4	5	4	5	2	2	7	3	1	4
220404	4	5	0	9	8	4	5	6	7	4	6	1	3	0	2	0	2	5	1	1	2	13	3	5	11	5	12	0	2	5	9	4	0	0	3	7	1	3	5	0	0	3	5	3	0	1	1	5	2	4	4	5	4	5	2	2	7	3	1	4
220405	4	5	0	9	8	4	5	6	7	4	6	1	3	0	2	0	2	5	1	1	2	13	3	5	11	5	12	0	2	5	9	4	0	0	3	7	1	3	5	0	0	3	5	3	0	1	1	6	2	4	4	5	4	5	2	2	7	3	1	4
220406	4	5	0	10	8	4	5	6	7	4	6	1	3	1	2	0	2	5	1	1	2	13	3	5	11	5	12	0	2	5	9	4	0	0	3	7	1	3	5	0	0	3	5	3	0	1	1	6	2	4	4	5	4	5	2	2	7	3	1	4
220407	4	5	0	10	8	4	5	6	7	4	6	1	3	1	2	0	2	5	1	1	2	13	3	5	11	5	12	0	2	5	9	4	0	0	3	7	1	3	6	0	0	3	5	3	0	1	1	6	2	4	4	5	4	5	2	2	7	3	1	4
220408	4	5	0	11	8	4	5	6	7	4	6	1	3	1	2	0	2	5	1	1	2	13	4	5	11	5	12	0	2	5	9	4	0	0	3	7	1	3	6	0	0	3	5	3	0	1	1	6	3	4	4	5	4	5	2	2	7	3	2	4
220410	4	5	0	11	8	4	5	6	7	4	6	1	3	2	2	0	2	5	1	1	2	13	4	5	11	5	12	0	2	5	9	4	0	0	3	7	1	3	6	0	0	3	5	3	0	1	1	6	3	4	4	5	4	5	2	2	7	3	2	4
220625	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
