DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060
220223	2	1	0	4	1	2	1	1	4	2	1	1	1	0	1	0	1	1	1	0	1	6	1	2	5	2	5	0	1	3	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	1	0	1	0	1	1	1	1	0	1	3	4	2	1	N/A
220224	2	1	0	4	1	2	1	1	4	2	1	1	1	0	1	0	1	1	1	0	1	6	1	2	5	2	5	0	1	3	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	1	0	1	0	1	1	1	1	1	1	3	4	2	1	N/A
220225	2	1	0	4	1	2	1	1	4	2	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	5	0	1	4	4	1	0	0	1	0	0	1	1	0	0	1	2	1	0	1	0	1	2	1	2	3	1	1	1	3	4	2	1	N/A
220226	2	2	0	4	1	3	1	1	4	3	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	4	4	2	0	0	1	0	0	1	1	0	0	2	2	1	0	1	0	1	2	1	2	3	1	1	1	3	4	2	1	N/A
220227	3	2	0	4	1	3	1	1	4	3	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	4	4	2	0	0	1	0	0	1	1	0	0	2	2	1	0	1	0	1	2	2	2	3	1	1	1	3	4	2	1	N/A
220228	3	2	0	4	1	3	1	2	4	3	1	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	4	5	2	0	0	1	0	0	1	1	0	0	2	2	1	0	1	0	1	2	2	2	3	1	2	1	3	4	2	1	N/A
220301	3	2	0	4	2	3	2	2	4	4	2	1	2	0	1	0	1	1	1	0	1	6	1	2	6	3	6	0	1	5	5	2	0	0	2	1	0	1	1	0	0	2	2	2	0	1	0	1	2	2	3	4	2	2	1	3	4	2	1	N/A
220302	3	3	0	4	2	3	2	2	4	4	3	1	2	0	1	0	1	1	1	0	1	6	2	2	6	4	7	0	1	5	5	2	0	0	2	1	0	1	1	0	0	2	2	2	0	1	0	1	2	2	3	4	2	2	1	3	4	2	1	1
220303	3	3	0	5	2	3	2	2	4	4	4	1	2	0	1	0	2	1	1	0	1	6	2	2	6	4	7	0	1	5	5	2	0	0	2	1	0	1	1	0	0	2	2	2	0	1	0	2	2	2	3	4	2	2	2	3	4	2	1	1
220304	3	3	0	5	2	3	2	2	4	4	4	1	2	0	1	0	2	1	1	1	1	7	2	2	6	4	7	0	1	5	6	2	0	0	2	1	0	1	1	0	0	2	3	2	0	1	0	2	2	3	3	4	2	2	2	3	4	2	1	1
