DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067
220304	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	6	N/A	N/A	N/A	N/A
220305	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	7	N/A	N/A	N/A	N/A
220306	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	7	N/A	N/A	N/A	N/A
220308	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	7	N/A	N/A	N/A	N/A
220310	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	7	0	N/A	N/A	N/A
220311	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	7	0	N/A	N/A	N/A
220312	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	7	0	0	0	N/A
220314	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	7	0	0	1	N/A
220316	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	7	1	1	1	0
220317	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	0	0	2	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	7	1	1	1	1
